NAME                 STATUS         CURATED    INSTALLED
claude-code          not-installed  2.1.98     -
gsd                  not-installed  1.7.0      -
playwright-cli       not-installed  0.1.17     -
codex                not-installed  0.142.3    -
antigravity-cli      not-installed  1.1.4      -
opencode             not-installed  1.18.3     -
qwen-code            not-installed  0.19.2     -
ccusage              not-installed  20.0.14    -
rtk                  not-installed  0.42.4     -
gh                   not-installed  2.95.0     -
glab                 not-installed  1.105.0    -
trivy                not-installed  0.71.2     -
gitleaks             not-installed  8.30.1     -
sentry-cli           not-installed  3.6.0      -
chrome-devtools-mcp  not-installed  1.4.0      -
context7             not-installed  3.2.3      -
github-mcp           not-installed  1.5.0      -
sentry-mcp           not-installed  0.37.0     -
firecrawl-mcp        not-installed  3.22.3     -
slack-mcp            not-installed  2026.2.17  -
linear-mcp           not-installed  2025.5.1   -
jira-atlassian-mcp   not-installed  2026.2.4   -
spec-kit             not-installed  0.12.11    -
openclaw             not-installed  2026.6.10  -
hermes-agent         not-installed  2026.6.19  -
